Parameter Order,Rear Window Length (mm),Wind Shield Length (mm),Roof Length (mm),Rear Window Angle (70-85) ,Wind Shield Angle (50-65)(derece),Cd
364,724.75,644.98,2489.78,72.27,63.21,0.57583435
365,715.7,644.81,2522.02,74.7,63.24,0.56263284
366,715.42,678.46,2454.45,74.78,58.06,0.53517957
367,698.86,636.31,2621.43,81.04,64.8,0.55920397
368,718.11,662.16,2476.31,74.01,60.4,0.54059313
369,694.24,663.62,2597.66,83.92,60.18,0.49589902
370,721.87,668.83,2449.78,73.0,59.41,0.54152902
371,712.91,665.62,2489.16,75.54,59.88,0.5316166
372,696.61,661.51,2582.12,82.3,60.5,0.50728035
373,697.83,688.38,2521.8,81.59,56.76,0.51810914
374,729.28,663.42,2436.45,71.19,60.21,0.55270854
375,697.41,636.73,2630.18,81.83,64.72,0.55314133
601,724.51,717.25,2353.54,72.33,53.39,0.60040544
602,696.25,644.52,2620.86,82.52,63.29,0.52944876
603,708.89,655.64,2526.4,76.86,61.42,0.53536977
604,717.61,663.42,2475.6,74.15,60.21,0.53850989
605,702.99,655.95,2554.08,79.11,61.37,0.52897078
606,694.07,653.41,2620.28,84.05,61.78,0.50367962
607,724.35,724.07,2342.73,72.37,52.67,0.61551418
608,724.35,682.51,2415.3,72.37,57.52,0.55187163
609,732.79,681.22,2391.27,70.4,57.69,0.5541829
610,711.4,640.74,2548.15,76.02,63.97,0.56788246
611,727.4,747.87,2294.64,71.63,50.34,0.71425545
612,699.33,652.07,2583.26,80.8,62.0,0.52802423
613,699.33,639.82,2610.31,80.8,64.14,0.55072583
614,733.52,702.77,2350.21,70.24,55.01,0.58190299
615,734.54,675.61,2396.7,70.02,58.45,0.55081815
616,707.45,717.07,2419.08,77.37,53.41,0.57639468
617,725.65,654.21,2466.9,72.05,61.65,0.56042789
618,708.26,736.39,2383.72,77.08,51.43,0.63429212
619,696.51,676.92,2552.59,82.36,58.27,0.50194083
620,700.2,642.17,2599.64,80.37,63.71,0.54870879
621,713.66,663.02,2491.42,75.31,60.27,0.53506577
622,703.2,730.53,2417.6,79.02,52.01,0.60671691
623,713.76,643.17,2533.15,75.28,63.53,0.56599667
624,732.38,718.93,2326.04,70.49,53.21,0.60469521
625,715.56,652.8,2505.18,74.74,61.88,0.54900593
626,731.26,695.87,2369.15,70.74,55.83,0.56868989
627,711.65,710.94,2411.23,75.94,54.08,0.5758269
628,709.8,732.43,2383.36,76.55,51.82,0.62493143
629,696.11,647.33,2615.77,82.61,62.8,0.52414958
630,697.78,728.55,2453.07,81.62,52.21,0.58675974
631,694.22,716.14,2501.91,83.93,53.51,0.54141691
632,695.31,638.74,2641.55,83.14,64.34,0.53681485
633,695.6,674.39,2564.54,82.94,58.62,0.49750473
634,696.27,685.8,2537.82,82.51,57.09,0.50983145
635,694.42,724.55,2486.08,83.78,52.62,0.55772989
636,697.8,750.05,2418.66,81.61,50.14,0.68403205
637,708.01,738.35,2381.72,77.17,51.24,0.64274224
638,702.59,708.27,2458.01,79.28,54.38,0.55900672
639,693.75,670.08,2589.61,84.31,59.23,0.4885149
640,708.89,663.68,2509.91,76.86,60.17,0.52842676
641,697.48,733.75,2446.73,81.79,51.69,0.60085142
642,720.31,691.16,2413.15,73.41,56.41,0.5549432
